Image Name,Bounding Box coordinates,,,,Image class
01761.jpg,23,27,611,426,183
01762.jpg,1,700,1189,1159,12
01763.jpg,104,122,450,335,175
01764.jpg,79,134,587,364,149
01765.jpg,56,40,195,160,111
01766.jpg,20,33,414,278,90
01767.jpg,84,107,496,254,11
01768.jpg,26,149,626,425,9
01769.jpg,65,66,386,270,148
01770.jpg,86,159,659,406,47
01771.jpg,40,53,561,346,156
01772.jpg,35,42,274,154,39
01773.jpg,7,69,289,216,108
01774.jpg,27,124,732,521,195
01775.jpg,15,36,629,291,31
01776.jpg,49,177,388,318,175
01777.jpg,66,71,388,309,101
01778.jpg,36,99,585,426,22
01779.jpg,26,181,879,562,112
01780.jpg,95,194,505,464,168
01781.jpg,29,74,619,376,117
01782.jpg,48,9,610,247,17
01783.jpg,39,44,472,247,15
01784.jpg,19,184,886,722,95
01785.jpg,22,69,231,154,73
01786.jpg,114,67,553,371,10
01787.jpg,11,26,98,68,123
01788.jpg,9,11,141,85,88
01789.jpg,15,83,561,422,87
01790.jpg,45,81,578,397,113
01791.jpg,40,58,1916,1018,170
01792.jpg,44,20,1225,739,39
01793.jpg,8,37,257,175,116
01794.jpg,115,157,619,361,178
01795.jpg,28,47,1007,598,78
01796.jpg,127,49,552,331,78
01797.jpg,25,19,612,302,154
01798.jpg,42,158,496,355,171
01799.jpg,52,105,233,194,84
01800.jpg,47,97,608,440,124
01801.jpg,15,25,239,182,95
01802.jpg,10,42,298,203,76
01803.jpg,58,48,340,217,13
01804.jpg,37,334,1486,1120,93
01805.jpg,15,37,284,160,15
01806.jpg,10,62,252,149,54
01807.jpg,14,135,374,268,34
01808.jpg,82,133,974,665,75
01809.jpg,39,155,555,343,177
01810.jpg,21,243,617,422,21
01811.jpg,118,140,364,303,52
01812.jpg,57,64,1005,608,59
01813.jpg,81,185,385,333,155
01814.jpg,6,128,448,341,194
01815.jpg,14,23,250,163,54
01816.jpg,111,92,645,435,78
01817.jpg,32,14,437,287,52
01818.jpg,25,62,555,330,46
01819.jpg,22,52,257,176,8
01820.jpg,88,233,956,620,164
01821.jpg,87,129,758,358,29
01822.jpg,23,28,600,412,139
01823.jpg,82,109,450,300,81
01824.jpg,55,31,341,238,186
01825.jpg,79,49,555,421,35
01826.jpg,31,10,621,400,85
01827.jpg,188,282,1585,1157,63
01828.jpg,70,105,443,285,49
01829.jpg,36,103,589,325,139
01830.jpg,78,106,709,502,132
01831.jpg,43,69,608,452,116
01832.jpg,29,18,157,86,1
01833.jpg,21,97,622,387,11
01834.jpg,143,91,556,370,124
01835.jpg,72,94,577,397,91
01836.jpg,81,87,581,348,87
01837.jpg,79,118,373,262,90
01838.jpg,5,37,280,157,27
01839.jpg,124,43,955,406,26
01840.jpg,98,55,686,463,144
01841.jpg,5,56,495,210,26
01842.jpg,30,36,452,237,163
01843.jpg,17,87,635,468,186
01844.jpg,33,176,608,468,194
01845.jpg,65,65,268,180,162
01846.jpg,137,391,926,675,150
01847.jpg,160,208,1465,1018,55
01848.jpg,23,104,447,306,23
01849.jpg,12,115,640,470,121
01850.jpg,309,190,970,506,140
01851.jpg,11,104,293,185,31
01852.jpg,27,21,626,433,8
01853.jpg,270,320,999,763,194
01854.jpg,82,53,323,173,35
01855.jpg,81,171,582,452,115
01856.jpg,49,124,453,280,121
01857.jpg,11,77,267,180,44
01858.jpg,8,61,1023,478,181
01859.jpg,114,11,542,414,172
01860.jpg,67,119,601,406,191
01861.jpg,13,42,497,366,148
01862.jpg,20,103,602,354,102
01863.jpg,11,60,263,183,127
01864.jpg,64,202,898,574,6
01865.jpg,19,83,631,404,191
01866.jpg,364,343,720,543,99
01867.jpg,108,8,466,268,195
01868.jpg,78,63,564,344,26
01869.jpg,21,34,251,171,122
01870.jpg,178,424,1828,1090,3
01871.jpg,43,51,232,144,40
01872.jpg,17,29,615,377,177
01873.jpg,223,160,1420,907,107
01874.jpg,17,34,231,163,70
01875.jpg,68,197,1238,721,167
01876.jpg,11,101,618,419,49
01877.jpg,43,101,961,612,15
01878.jpg,64,110,738,529,132
01879.jpg,25,44,608,292,31
01880.jpg,120,324,890,731,14
01881.jpg,47,34,429,258,67
01882.jpg,8,103,620,368,118
01883.jpg,36,146,558,342,22
01884.jpg,55,95,600,410,69
01885.jpg,67,57,560,411,130
01886.jpg,11,25,320,225,100
01887.jpg,97,326,1519,927,112
01888.jpg,32,114,688,406,78
01889.jpg,157,153,392,310,100
01890.jpg,210,382,1134,716,26
01891.jpg,56,95,627,368,2
01892.jpg,42,47,292,192,37
01893.jpg,84,86,571,348,119
01894.jpg,51,84,616,398,137
01895.jpg,76,181,938,748,76
01896.jpg,107,7,679,258,155
01897.jpg,28,172,961,767,114
01898.jpg,246,169,589,353,49
01899.jpg,20,90,632,339,135
01900.jpg,11,15,277,157,115
01901.jpg,56,92,446,327,7
01902.jpg,1,77,449,233,122
01903.jpg,154,277,1453,979,85
01904.jpg,11,20,193,140,76
01905.jpg,25,98,617,386,69
01906.jpg,9,28,247,179,76
01907.jpg,45,8,233,178,111
01908.jpg,12,23,787,365,194
01909.jpg,185,132,1015,677,38
01910.jpg,83,68,551,237,168
01911.jpg,91,175,567,410,6
01912.jpg,45,50,262,165,119
01913.jpg,74,84,963,567,188
01914.jpg,49,43,212,153,116
01915.jpg,51,117,441,288,136
01916.jpg,6,119,494,276,39
01917.jpg,38,22,790,450,132
01918.jpg,8,3,135,86,1
01919.jpg,26,133,618,347,36
01920.jpg,118,8,790,598,116
01921.jpg,28,86,345,215,70
01922.jpg,112,274,1534,886,182
01923.jpg,64,246,955,590,112
01924.jpg,331,486,1212,917,159
01925.jpg,29,86,614,456,78
01926.jpg,10,53,631,294,103
01927.jpg,29,108,606,416,109
01928.jpg,1,49,234,141,92
01929.jpg,15,166,488,383,43
01930.jpg,74,43,839,490,187
01931.jpg,94,235,571,486,136
01932.jpg,61,67,570,344,52
01933.jpg,96,144,652,394,47
01934.jpg,83,322,1415,773,105
01935.jpg,171,179,544,381,43
01936.jpg,78,99,736,438,146
01937.jpg,212,192,578,332,103
01938.jpg,28,42,474,341,70
01939.jpg,37,87,463,298,78
01940.jpg,1,7,200,125,177
01941.jpg,135,753,2152,1461,74
01942.jpg,13,49,393,275,127
01943.jpg,32,322,809,652,84
01944.jpg,17,54,288,189,13
01945.jpg,6,17,262,151,48
01946.jpg,17,31,289,178,78
01947.jpg,3,89,300,260,86
01948.jpg,55,110,454,280,25
01949.jpg,15,1,379,221,71
01950.jpg,80,123,419,293,163
01951.jpg,55,49,669,294,110
01952.jpg,11,31,490,266,1
01953.jpg,61,368,1223,836,56
01954.jpg,17,121,550,344,19
01955.jpg,334,551,1260,1014,140
01956.jpg,14,63,478,320,56
01957.jpg,15,188,463,350,135
01958.jpg,5,21,273,126,85
01959.jpg,71,137,910,601,66
01960.jpg,59,224,915,708,169
01961.jpg,21,114,500,452,67
01962.jpg,69,66,559,333,171
01963.jpg,7,123,637,397,72
01964.jpg,160,170,1007,683,92
01965.jpg,38,10,255,199,78
01966.jpg,24,37,276,169,32
01967.jpg,2,1,259,194,70
01968.jpg,41,97,608,392,47
01969.jpg,25,120,615,361,84
01970.jpg,32,79,431,228,16
01971.jpg,92,459,1215,889,77
01972.jpg,37,67,237,168,5
01973.jpg,16,12,188,115,158
01974.jpg,99,114,306,191,190
01975.jpg,159,307,997,605,57
01976.jpg,38,154,474,301,161
01977.jpg,53,45,530,370,87
01978.jpg,13,23,244,160,51
01979.jpg,131,264,470,434,107
01980.jpg,97,193,923,631,148
01981.jpg,25,34,413,235,31
01982.jpg,19,68,476,338,107
01983.jpg,102,163,723,454,53
01984.jpg,12,189,741,415,57
01985.jpg,35,162,624,456,184
01986.jpg,47,85,588,374,127
01987.jpg,64,123,548,346,52
01988.jpg,32,52,593,324,105
01989.jpg,145,182,659,440,144
01990.jpg,20,75,462,331,33
01991.jpg,63,28,632,351,33
01992.jpg,31,1,640,220,194
01993.jpg,31,110,405,263,34
01994.jpg,28,36,250,143,38
01995.jpg,84,87,621,411,153
01996.jpg,128,126,767,437,165
01997.jpg,147,178,951,633,192
01998.jpg,12,39,237,166,108
01999.jpg,68,120,433,330,124
02000.jpg,38,75,380,193,40
02001.jpg,56,110,609,440,148
02002.jpg,8,1,272,134,52
02003.jpg,10,340,1591,950,101
02004.jpg,50,162,640,425,5
02005.jpg,17,75,279,158,141
02006.jpg,57,43,194,127,34
02007.jpg,24,16,454,304,14
02008.jpg,31,146,615,444,115
02009.jpg,14,22,262,122,25
02010.jpg,66,46,545,426,37
02011.jpg,318,76,1193,711,191
02012.jpg,128,71,417,292,90
02013.jpg,73,56,591,395,168
02014.jpg,96,222,647,420,54
02015.jpg,35,114,550,327,16
02016.jpg,65,122,568,325,77
02017.jpg,33,200,1001,661,92
02018.jpg,210,82,944,734,32
02019.jpg,54,69,546,379,52
02020.jpg,103,335,1151,784,101
02021.jpg,7,59,390,328,146
02022.jpg,133,61,582,318,63
02023.jpg,43,49,266,176,82
02024.jpg,20,110,415,294,148
02025.jpg,10,42,310,180,22
02026.jpg,154,74,593,444,124
02027.jpg,69,123,1073,705,28
02028.jpg,24,96,414,317,175
02029.jpg,6,14,216,107,31
02030.jpg,29,51,259,187,118
02031.jpg,33,12,226,191,125
02032.jpg,12,99,380,216,16
02033.jpg,19,34,241,158,34
02034.jpg,10,27,310,134,70
02035.jpg,11,123,500,358,120
02036.jpg,47,89,639,395,119
02037.jpg,115,164,1342,669,102
02038.jpg,70,3,617,337,96
02039.jpg,22,159,977,588,194
02040.jpg,24,59,294,221,97
02041.jpg,73,278,1010,659,21
02042.jpg,181,124,1780,1057,27
02043.jpg,132,89,940,686,146
02044.jpg,129,165,793,545,23
02045.jpg,135,86,463,300,177
02046.jpg,24,123,618,354,32
02047.jpg,43,50,136,90,57
02048.jpg,27,17,297,209,76
02049.jpg,30,57,400,309,124
02050.jpg,30,65,331,199,1
02051.jpg,54,135,1461,822,194
02052.jpg,26,98,372,219,47
02053.jpg,22,12,245,178,111
02054.jpg,183,4,1186,780,196
02055.jpg,22,160,580,385,11
02056.jpg,32,11,456,307,24
02057.jpg,36,161,611,355,102
02058.jpg,12,67,496,266,9
02059.jpg,269,339,884,671,23
02060.jpg,11,52,595,293,68
02061.jpg,43,110,646,427,183
02062.jpg,31,52,453,239,174
02063.jpg,39,113,467,320,35
02064.jpg,2,22,296,199,148
02065.jpg,73,163,674,401,2
02066.jpg,46,315,1249,943,98
02067.jpg,241,78,1105,781,194
02068.jpg,32,56,783,453,16
02069.jpg,1,550,2320,2506,168
02070.jpg,74,38,375,289,95
02071.jpg,21,2,233,100,127
02072.jpg,250,205,1092,759,145
02073.jpg,122,176,929,611,160
02074.jpg,18,67,496,342,86
02075.jpg,9,16,294,156,77
02076.jpg,17,69,247,157,161
02077.jpg,2,78,478,249,77
02078.jpg,82,307,1369,1036,96
02079.jpg,45,181,2582,1848,75
02080.jpg,128,30,855,596,133
02081.jpg,37,61,756,504,32
02082.jpg,205,77,595,295,58
02083.jpg,51,116,630,371,152
02084.jpg,328,260,1610,935,151
02085.jpg,13,40,257,143,116
02086.jpg,51,68,595,381,192
02087.jpg,19,533,3220,1953,30
02088.jpg,2,2,300,208,118
02089.jpg,19,64,471,259,123
02090.jpg,42,79,613,480,154
02091.jpg,15,93,632,373,72
02092.jpg,31,9,435,244,184
02093.jpg,19,91,482,311,113
02094.jpg,89,43,542,339,146
02095.jpg,90,189,1495,820,6
02096.jpg,33,156,736,524,44
02097.jpg,18,1,999,507,75
02098.jpg,15,17,636,440,58
02099.jpg,14,31,272,198,65
02100.jpg,66,64,598,385,89
02101.jpg,17,39,237,156,53
02102.jpg,20,23,274,196,174
02103.jpg,34,262,766,650,196
02104.jpg,25,215,625,411,173
02105.jpg,10,142,465,309,180
02106.jpg,129,94,502,382,76
02107.jpg,23,57,232,186,65
02108.jpg,53,122,993,553,147
02109.jpg,31,51,635,399,48
02110.jpg,116,141,535,367,96
02111.jpg,20,7,239,174,5
02112.jpg,95,84,612,391,114
02113.jpg,109,39,980,590,59
02114.jpg,9,37,651,477,23
02115.jpg,11,37,441,206,51
02116.jpg,26,66,379,258,30
02117.jpg,1,79,1918,1120,153
02118.jpg,509,458,1031,686,101
02119.jpg,44,162,605,360,115
02120.jpg,44,63,448,253,142
02121.jpg,143,114,546,374,68
02122.jpg,29,63,602,324,102
02123.jpg,74,88,517,354,137
02124.jpg,9,97,493,252,4
02125.jpg,21,77,622,466,74
02126.jpg,7,20,298,197,143
02127.jpg,31,98,380,226,38
02128.jpg,63,328,1223,755,134
02129.jpg,20,23,280,164,148
02130.jpg,42,89,588,377,19
02131.jpg,81,140,524,337,189
02132.jpg,26,290,996,610,91
02133.jpg,126,143,907,715,117
02134.jpg,147,149,905,654,57
02135.jpg,67,103,533,366,87
02136.jpg,128,33,515,309,131
02137.jpg,19,118,557,340,137
02138.jpg,20,272,982,633,164
02139.jpg,2,3,217,117,161
02140.jpg,35,176,492,480,61
02141.jpg,14,164,1011,615,103
02142.jpg,74,70,251,170,70
02143.jpg,8,76,3640,2675,172
02144.jpg,37,82,594,380,26
02145.jpg,112,7,853,717,1
02146.jpg,8,14,294,142,107
02147.jpg,74,114,585,432,178
02148.jpg,95,124,617,401,133
02149.jpg,57,107,611,421,48
02150.jpg,55,82,564,338,169
02151.jpg,206,135,1543,1076,149
02152.jpg,4,51,458,291,27
02153.jpg,208,47,483,364,166
02154.jpg,67,62,212,185,29
02155.jpg,86,38,197,151,45
02156.jpg,54,55,305,220,123
02157.jpg,156,175,484,332,118
02158.jpg,37,39,486,273,102
02159.jpg,56,200,514,396,144
02160.jpg,63,5,940,723,169
02161.jpg,49,38,575,447,149
02162.jpg,40,134,759,463,102
02163.jpg,104,325,1180,776,170
02164.jpg,108,49,600,327,31
02165.jpg,49,35,565,439,24
02166.jpg,23,113,617,367,117
02167.jpg,185,454,1947,1129,107
02168.jpg,54,246,678,553,101
02169.jpg,52,27,575,418,65
02170.jpg,12,6,314,202,114
02171.jpg,32,305,1595,981,18
02172.jpg,49,49,203,164,34
02173.jpg,184,284,840,696,105
02174.jpg,366,293,1817,1222,145
02175.jpg,12,58,297,192,44
02176.jpg,17,111,358,240,17
02177.jpg,22,30,625,531,101
02178.jpg,15,77,454,272,127
02179.jpg,103,180,587,434,120
02180.jpg,205,192,617,352,168
02181.jpg,31,74,549,384,48
02182.jpg,35,54,564,361,123
02183.jpg,28,2,608,423,195
02184.jpg,95,30,492,256,180
02185.jpg,47,208,997,667,20
02186.jpg,56,67,420,284,178
02187.jpg,28,8,183,138,143
02188.jpg,58,1,582,373,30
02189.jpg,36,331,857,692,163
02190.jpg,10,67,575,302,172
02191.jpg,1,28,272,157,156
02192.jpg,61,45,752,502,145
02193.jpg,52,42,504,315,174
02194.jpg,80,155,471,320,9
02195.jpg,61,130,738,481,34
02196.jpg,62,210,673,475,122
02197.jpg,180,78,600,402,158
02198.jpg,100,86,304,276,181
02199.jpg,4,56,395,229,104
02200.jpg,70,117,461,330,60
02201.jpg,91,107,937,561,160
02202.jpg,295,120,1199,519,152
02203.jpg,114,86,406,288,66
02204.jpg,168,93,1131,699,173
02205.jpg,35,74,611,409,68
02206.jpg,61,82,948,673,132
02207.jpg,18,23,639,387,73
02208.jpg,46,43,473,375,179
02209.jpg,25,76,563,312,53
02210.jpg,24,77,267,186,156
02211.jpg,41,135,365,300,116
02212.jpg,45,116,547,393,74
02213.jpg,501,443,1088,706,137
02214.jpg,13,14,301,155,18
02215.jpg,126,27,522,445,58
02216.jpg,89,42,868,504,100
02217.jpg,35,81,428,294,139
02218.jpg,328,274,1017,689,145
02219.jpg,34,33,663,401,149
02220.jpg,73,164,936,471,13
02221.jpg,55,68,529,450,32
02222.jpg,29,66,597,228,59
02223.jpg,11,98,734,463,85
02224.jpg,7,61,290,205,80
02225.jpg,14,58,488,273,91
02226.jpg,109,163,553,425,117
02227.jpg,86,68,199,158,165
02228.jpg,38,134,463,311,137
02229.jpg,107,445,884,665,158
02230.jpg,28,32,340,178,69
02231.jpg,48,66,363,210,44
02232.jpg,109,88,561,349,35
02233.jpg,31,2,357,176,28
02234.jpg,61,58,335,236,39
02235.jpg,203,497,2792,1959,66
02236.jpg,45,91,382,288,179
02237.jpg,14,41,291,165,161
02238.jpg,68,135,389,282,138
02239.jpg,55,41,969,673,133
02240.jpg,185,495,1497,964,4
02241.jpg,204,227,627,511,27
02242.jpg,36,72,594,413,64
02243.jpg,122,123,503,292,169
02244.jpg,180,152,461,362,22
02245.jpg,17,30,405,278,48
02246.jpg,128,203,922,710,164
02247.jpg,31,125,624,349,114
02248.jpg,86,131,507,384,79
02249.jpg,114,79,600,356,178
02250.jpg,19,39,630,351,188
02251.jpg,26,34,246,156,92
02252.jpg,35,53,272,190,162
02253.jpg,26,217,582,396,21
02254.jpg,52,49,668,354,124
02255.jpg,60,41,365,169,181
02256.jpg,9,33,256,109,22
02257.jpg,6,42,1022,366,57
02258.jpg,51,81,655,408,26
02259.jpg,14,19,450,274,44
02260.jpg,24,180,605,398,40
02261.jpg,76,31,574,261,185
02262.jpg,57,112,543,316,193
02263.jpg,89,129,532,412,177
02264.jpg,162,87,567,318,21
02265.jpg,39,72,653,462,75
02266.jpg,67,44,180,113,52
02267.jpg,28,67,479,284,19
02268.jpg,90,65,546,397,71
02269.jpg,13,124,1967,1464,95
02270.jpg,137,164,761,421,101
02271.jpg,18,24,250,166,125
02272.jpg,41,31,753,468,183
02273.jpg,228,83,1253,887,23
02274.jpg,57,50,388,218,4
02275.jpg,66,92,492,336,109
02276.jpg,53,80,310,175,57
02277.jpg,96,46,487,186,137
02278.jpg,99,93,690,477,132
02279.jpg,36,40,999,751,194
02280.jpg,190,139,508,394,132
02281.jpg,56,33,579,395,93
02282.jpg,186,177,1284,819,112
02283.jpg,8,48,296,194,186
02284.jpg,16,45,291,157,188
02285.jpg,1,5,396,213,174
02286.jpg,125,339,2008,1332,8
02287.jpg,12,20,377,281,34
02288.jpg,151,20,551,221,122
02289.jpg,54,19,233,147,165
02290.jpg,65,15,232,116,119
02291.jpg,17,53,607,443,94
02292.jpg,2,15,83,61,18
02293.jpg,37,415,1528,1060,178
02294.jpg,40,35,424,256,86
02295.jpg,8,141,618,344,70
02296.jpg,101,66,555,407,68
02297.jpg,32,62,603,423,120
02298.jpg,82,103,973,669,111
02299.jpg,131,15,459,205,68
02300.jpg,13,10,298,194,105
02301.jpg,54,75,449,300,120
02302.jpg,50,168,937,501,126
02303.jpg,27,151,623,391,50
02304.jpg,38,74,244,179,16
02305.jpg,83,64,269,158,8
02306.jpg,29,95,557,375,77
02307.jpg,11,43,472,232,150
02308.jpg,44,79,584,392,67
02309.jpg,25,86,306,245,46
02310.jpg,20,102,376,225,107
02311.jpg,56,1,394,176,1
02312.jpg,49,117,386,265,56
02313.jpg,33,114,434,293,156
02314.jpg,18,63,445,267,2
02315.jpg,9,42,581,395,172
02316.jpg,27,235,665,465,64
02317.jpg,21,6,623,453,64
02318.jpg,31,67,573,332,87
02319.jpg,41,225,957,579,62
02320.jpg,8,36,268,198,143
02321.jpg,37,342,1263,786,160
02322.jpg,38,52,410,322,175
02323.jpg,71,45,752,302,25
02324.jpg,40,46,539,324,26
02325.jpg,34,51,382,258,15
02326.jpg,37,81,554,311,10
02327.jpg,18,27,298,211,148
02328.jpg,153,215,606,464,101
02329.jpg,84,463,1915,1014,104
02330.jpg,4,19,276,199,162
02331.jpg,18,45,404,307,195
02332.jpg,65,92,606,420,195
02333.jpg,8,17,292,181,111
02334.jpg,69,175,1133,643,25
02335.jpg,52,69,259,208,21
02336.jpg,71,83,266,174,37
02337.jpg,39,151,492,392,153
02338.jpg,31,40,183,154,28
02339.jpg,26,26,268,160,92
02340.jpg,47,220,980,715,83
02341.jpg,10,52,194,109,18
02342.jpg,72,156,500,322,137
02343.jpg,34,19,254,159,38
02344.jpg,614,9,1279,329,194
02345.jpg,25,74,368,282,110
02346.jpg,14,22,256,162,102
02347.jpg,11,27,392,210,68
02348.jpg,63,95,423,249,107
02349.jpg,17,45,495,188,185
02350.jpg,35,259,609,466,17
02351.jpg,34,43,335,166,134
02352.jpg,36,89,569,382,43
02353.jpg,73,26,430,282,134
02354.jpg,12,81,280,188,62
02355.jpg,42,120,741,478,182
02356.jpg,594,306,1520,1149,139
02357.jpg,5,41,191,142,161
02358.jpg,51,38,603,432,169
02359.jpg,65,101,650,453,7
02360.jpg,9,33,252,165,106
02361.jpg,18,86,242,192,121
02362.jpg,47,137,965,681,126
02363.jpg,26,25,283,157,1
02364.jpg,373,56,2663,1915,3
02365.jpg,47,349,997,683,74
02366.jpg,47,76,556,375,149
02367.jpg,77,91,297,178,29
02368.jpg,20,112,685,454,66
02369.jpg,4,62,239,153,76
02370.jpg,130,43,508,281,25
02371.jpg,89,164,473,287,97
02372.jpg,117,95,847,596,83
02373.jpg,27,131,957,591,167
02374.jpg,20,45,234,166,136
02375.jpg,13,48,512,297,110
02376.jpg,323,345,1052,806,170
02377.jpg,79,386,765,615,8
02378.jpg,105,88,252,156,9
02379.jpg,1,11,653,336,184
02380.jpg,114,193,1199,757,112
02381.jpg,185,261,716,427,39
02382.jpg,1,131,631,365,182
02383.jpg,17,4,260,175,88
02384.jpg,365,181,1895,1185,99
02385.jpg,19,135,439,288,124
02386.jpg,609,327,1047,560,41
02387.jpg,1,16,302,205,153
02388.jpg,21,29,463,290,60
02389.jpg,67,14,606,474,85
02390.jpg,131,96,1962,1470,146
02391.jpg,56,63,367,245,37
02392.jpg,17,13,197,115,196
02393.jpg,101,141,719,450,186
02394.jpg,33,87,468,278,120
02395.jpg,99,157,479,307,21
02396.jpg,21,50,627,394,87
02397.jpg,46,240,1467,1115,140
02398.jpg,81,62,1201,729,86
02399.jpg,12,90,624,423,121
02400.jpg,6,1,216,74,18
02401.jpg,155,21,763,360,193
02402.jpg,86,164,535,391,58
02403.jpg,213,37,670,321,147
02404.jpg,23,89,556,327,120
02405.jpg,165,318,1135,923,167
02406.jpg,37,67,610,350,176
02407.jpg,49,42,200,167,196
02408.jpg,15,90,999,616,154
02409.jpg,18,22,444,272,85
02410.jpg,16,46,251,185,33
02411.jpg,182,64,435,281,52
02412.jpg,198,196,907,643,20
02413.jpg,70,67,689,410,142
02414.jpg,19,40,291,182,135
02415.jpg,412,350,1933,996,79
02416.jpg,15,108,419,274,28
02417.jpg,147,69,897,572,191
02418.jpg,4,15,146,93,161
02419.jpg,68,140,522,323,30
02420.jpg,24,55,607,427,49
02421.jpg,222,229,869,665,159
02422.jpg,3,50,294,191,51
02423.jpg,113,154,545,368,187
02424.jpg,59,82,440,266,193
02425.jpg,20,99,926,631,154
02426.jpg,78,155,733,471,35
02427.jpg,101,41,534,430,46
02428.jpg,5,5,92,62,123
02429.jpg,94,440,1049,917,98
02430.jpg,53,145,570,384,126
02431.jpg,47,155,999,581,13
02432.jpg,12,84,672,421,58
02433.jpg,70,58,253,141,51
02434.jpg,1,47,639,438,130
02435.jpg,74,89,422,341,175
02436.jpg,33,117,587,408,61
02437.jpg,117,116,571,393,187
02438.jpg,7,41,787,431,7
02439.jpg,13,103,624,414,64
02440.jpg,103,163,1192,623,89
02441.jpg,28,135,948,750,20
02442.jpg,63,153,992,648,67
02443.jpg,74,62,617,411,124
02444.jpg,70,60,737,541,113
02445.jpg,30,99,743,427,48
02446.jpg,60,126,839,578,153
02447.jpg,64,58,341,177,174
02448.jpg,3,226,1017,621,91
02449.jpg,61,150,595,378,126
02450.jpg,51,99,595,382,49
02451.jpg,29,11,269,159,27
02452.jpg,20,44,249,161,44
02453.jpg,24,61,450,306,86
02454.jpg,50,167,605,392,118
02455.jpg,79,97,563,353,91
02456.jpg,40,38,224,155,25
02457.jpg,126,227,885,551,5
02458.jpg,25,57,520,297,59
02459.jpg,12,171,623,423,72
02460.jpg,14,39,252,154,118
02461.jpg,19,62,952,526,191
02462.jpg,2,12,639,437,146
02463.jpg,51,138,926,525,137
02464.jpg,18,99,615,433,13
02465.jpg,225,113,437,266,29
02466.jpg,105,10,788,596,122
02467.jpg,26,18,698,468,139
02468.jpg,80,366,951,637,35
02469.jpg,46,35,762,418,139
02470.jpg,142,230,1476,983,130
02471.jpg,268,144,1645,1078,151
02472.jpg,56,237,960,611,96
02473.jpg,107,279,1146,618,80
02474.jpg,182,155,1743,951,14
02475.jpg,34,214,1567,979,153
02476.jpg,80,10,376,306,143
02477.jpg,156,1,1145,747,180
02478.jpg,180,22,519,229,21
02479.jpg,74,137,597,329,83
02480.jpg,43,133,751,400,34
02481.jpg,110,186,601,447,182
02482.jpg,126,98,822,572,125
02483.jpg,17,33,389,281,88
02484.jpg,435,304,1008,622,10
02485.jpg,51,109,627,453,109
02486.jpg,5,5,303,158,68
02487.jpg,79,136,913,635,144
02488.jpg,35,201,730,466,87
02489.jpg,1,49,202,148,153
02490.jpg,44,140,597,344,109
02491.jpg,47,154,598,369,3
02492.jpg,26,60,373,255,135
02493.jpg,9,41,1015,640,44
02494.jpg,26,56,746,319,86
02495.jpg,28,37,445,266,185
02496.jpg,41,95,607,379,118
02497.jpg,130,170,911,675,144
02498.jpg,14,78,1005,709,108
02499.jpg,49,163,733,438,118
02500.jpg,17,28,330,218,135
02501.jpg,1,159,400,286,158
02502.jpg,85,266,1021,579,67
02503.jpg,66,138,751,517,68
02504.jpg,41,39,223,160,28
02505.jpg,1,9,141,63,18
02506.jpg,9,4,251,164,108
02507.jpg,67,126,774,492,165
02508.jpg,35,61,599,410,109
02509.jpg,17,54,245,169,33
02510.jpg,56,59,985,532,171
02511.jpg,57,62,967,600,132
02512.jpg,64,16,692,449,87
02513.jpg,24,141,539,455,154
02514.jpg,208,274,1549,997,149
02515.jpg,25,18,241,168,65
02516.jpg,113,93,390,273,36
02517.jpg,102,195,675,504,61
02518.jpg,1,20,229,194,86
02519.jpg,147,434,1954,1233,119
02520.jpg,68,86,547,336,46
02521.jpg,162,154,470,301,177
02522.jpg,96,299,967,705,89
02523.jpg,43,26,776,569,96
02524.jpg,15,11,262,196,111
02525.jpg,217,330,1103,711,185
02526.jpg,25,219,304,302,160
02527.jpg,2,92,595,480,172
02528.jpg,13,17,313,178,39
02529.jpg,48,92,582,368,184
02530.jpg,12,18,256,163,162
02531.jpg,171,138,535,366,89
02532.jpg,22,67,1408,859,98
02533.jpg,15,150,626,452,77
02534.jpg,198,213,589,377,40
02535.jpg,66,82,673,564,130
02536.jpg,92,84,564,402,78
02537.jpg,37,36,246,157,80
02538.jpg,54,162,565,356,78
02539.jpg,64,121,365,261,19
02540.jpg,7,133,716,444,2
02541.jpg,20,12,651,475,45
02542.jpg,104,102,915,581,155
02543.jpg,22,58,179,136,80
02544.jpg,39,275,1143,810,57
02545.jpg,14,53,251,194,84
02546.jpg,12,40,251,167,54
02547.jpg,70,165,542,309,87
02548.jpg,23,56,620,429,119
02549.jpg,189,218,1063,588,45
02550.jpg,20,170,639,421,29
02551.jpg,32,43,186,124,106
02552.jpg,37,74,269,169,105
02553.jpg,51,193,593,381,43
02554.jpg,106,152,928,618,127
02555.jpg,93,162,714,418,133
02556.jpg,10,31,293,157,21
02557.jpg,30,31,189,130,88
02558.jpg,11,42,251,157,148
02559.jpg,16,26,690,462,81
02560.jpg,16,49,383,277,134
02561.jpg,51,4,508,255,24
02562.jpg,77,150,618,397,173
02563.jpg,87,224,1521,926,174
02564.jpg,27,165,750,466,71
02565.jpg,120,66,585,425,195
02566.jpg,59,162,971,635,23
02567.jpg,108,29,1427,925,164
02568.jpg,30,41,267,179,104
02569.jpg,95,124,431,308,93
02570.jpg,81,102,596,419,77
02571.jpg,239,180,692,417,146
02572.jpg,6,102,609,410,177
02573.jpg,275,53,1359,923,112
02574.jpg,527,299,1197,692,97
